P15848	DisProt	DP02670
Q5T4W7	DisProt	DP02428
P50553	DisProt	DP01942
P34233	DisProt	DP01579
P17405	DisProt	DP02027
Q13625	DisProt	DP01164
Q08655	DisProt	DP00531
P76216	DisProt	DP02760
Q5SQI0	DisProt	DP02419
Q06628	DisProt	DP01732
Q07528	DisProt	DP01744
Q2TAZ0	DisProt	DP02142
Q9NT62	DisProt	DP01720
P40344	DisProt	DP02826
Q9Y4P1	DisProt	DP01326
P38862	DisProt	DP02249
O82775	DisProt	DP02549
Q8VY98	DisProt	DP02550
P01096	DisProt	DP00844
P01097	DisProt	DP00995
O43313	DisProt	DP01288
P02721	DisProt	DP00201
Q04656	DisProt	DP00282
A1B8N7	DisProt	DP00806
Q9UNA0	DisProt	DP02607
P54252	DisProt	DP00576
Q96GD4	DisProt	DP02389
Q27974	DisProt	DP00351
O15169	DisProt	DP00959
O35625	DisProt	DP02456
Q9YGY0	DisProt	DP00954
O14977	DisProt	DP02675
O35484	DisProt	DP02672
Q07817	DisProt	DP00298
Q64373	DisProt	DP02817
P53563	DisProt	DP00449
Q9HD36	DisProt	DP02676
O54918	DisProt	DP00518
P02730	DisProt	DP01167
Q9UBV7	DisProt	DP02634
P97303	DisProt	DP01009
Q61337	DisProt	DP00563
Q16611	DisProt	DP02539
Q8ZRP0	DisProt	DP02483
P0A903	DisProt	DP01339
P80723	DisProt	DP00930
Q07812	DisProt	DP02540
Q99ML1	DisProt	DP01794
P54687	DisProt	DP02698
P0ABE0	DisProt	DP00415
P0ABD8	DisProt	DP00970
Q9RFD6	DisProt	DP02993
P10415	DisProt	DP00297
P11274	DisProt	DP03016
Q14457	DisProt	DP01149
O88597	DisProt	DP01612
Q9R224	DisProt	DP01183
P16278	DisProt	DP02785
P16442	DisProt	DP00339
P55957	DisProt	DP01662
P70444	DisProt	DP01661
Q9Y6D6	DisProt	DP02612
P17120	DisProt	DP00636
P10565	DisProt	DP03018
P11021	DisProt	DP01938
P06709	DisProt	DP00349
O70201	DisProt	DP02534
P54132	DisProt	DP03061
